sample_id,label,dataset_source,owner,repo,repo_key,vulnerable_hash,file_name,raw_url,patch_signif,patch_count,path_depth,path_len,filename_len,token_count_in_path,raw_url_len,is_test_like,is_internal_path,is_pkg_path,is_cmd_path,has_auth_kw,has_crypto_kw,has_network_kw,has_storage_kw,has_parser_kw,has_input_kw,has_exec_kw,has_security_kw,repo_rows_in_dataset,owner_rows_in_dataset,files_in_same_fix_commit,rows_in_same_dir_in_dataset,same_file_occurrences_in_dataset,repo_positive_ratio_in_dataset
e80099ce0fdf,1,vulnerable,graph-gophers,graphql-go,graph-gophers/graphql-go,9d31459e3b5dee3cc34ff9733f9e8acbfe09242d,graphql_test.go,https://github.com/graph-gophers/graphql-go/raw/eae31ca73eb3473c544710955d1dbebc22605bfe/graphql_test.go,"['@@ -4297,3 +4297,32 @@']",1,0,15,15,3,104,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,1,1,1.0
fe2a4f5a9195,1,vulnerable,graph-gophers,graphql-go,graph-gophers/graphql-go,9d31459e3b5dee3cc34ff9733f9e8acbfe09242d,internal/validation/validate_max_depth_test.go,https://github.com/graph-gophers/graphql-go/raw/eae31ca73eb3473c544710955d1dbebc22605bfe/internal%2Fvalidation%2Fvalidate_max_depth_test.go,"['@@ -43,12 +44,15 @@', '@@ -304,6 +309,64 @@']",2,2,46,26,7,139,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1.0
1647d1c6f942,1,vulnerable,graph-gophers,graphql-go,graph-gophers/graphql-go,9d31459e3b5dee3cc34ff9733f9e8acbfe09242d,internal/validation/validation.go,https://github.com/graph-gophers/graphql-go/raw/eae31ca73eb3473c544710955d1dbebc22605bfe/internal%2Fvalidation%2Fvalidation.go,"['@@ -235,13 +235,19 @@', '@@ -264,8 +271,15 @@']",2,2,33,13,4,126,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,2,1,1.0
6a231480e8c5,1,vulnerable,kubernetes,kubernetes,kubernetes/kubernetes,90f50488c7b1ab810dd98061d196568e61c47adb,staging/src/k8s.io/cli-runtime/pkg/printers/tableprinter.go,https://github.com/kubernetes/kubernetes/raw/dad0e937c0f76344363eb691b2668490ffef8537/staging%2Fsrc%2Fk8s.io%2Fcli-runtime%2Fpkg%2Fprinters%2Ftableprinter.go,[],0,6,59,15,10,157,0,0,1,0,0,0,0,0,0,0,1,0,246,268,9,3,1,0.3048780487804878
41cb4334f57d,1,vulnerable,kubernetes,kubernetes,kubernetes/kubernetes,90f50488c7b1ab810dd98061d196568e61c47adb,staging/src/k8s.io/cli-runtime/pkg/printers/tableprinter_test.go,https://github.com/kubernetes/kubernetes/raw/dad0e937c0f76344363eb691b2668490ffef8537/staging%2Fsrc%2Fk8s.io%2Fcli-runtime%2Fpkg%2Fprinters%2Ftableprinter_test.go,"['@@ -769,6 +769,18 @@']",1,6,64,20,11,162,1,0,1,0,0,0,0,0,0,0,1,0,246,268,9,3,1,0.3048780487804878
8576516ba0ca,1,vulnerable,kubernetes,kubernetes,kubernetes/kubernetes,90f50488c7b1ab810dd98061d196568e61c47adb,staging/src/k8s.io/cli-runtime/pkg/printers/terminal.go,https://github.com/kubernetes/kubernetes/raw/dad0e937c0f76344363eb691b2668490ffef8537/staging%2Fsrc%2Fk8s.io%2Fcli-runtime%2Fpkg%2Fprinters%2Fterminal.go,"['@@ -0,0 +1,39 @@']",1,6,55,11,10,153,0,0,1,0,0,0,0,0,0,0,1,0,246,268,9,3,1,0.3048780487804878
1ac58f313cc2,1,vulnerable,kubernetes,kubernetes,kubernetes/kubernetes,90f50488c7b1ab810dd98061d196568e61c47adb,staging/src/k8s.io/kubectl/pkg/cmd/events/event_printer.go,https://github.com/kubernetes/kubernetes/raw/dad0e937c0f76344363eb691b2668490ffef8537/staging%2Fsrc%2Fk8s.io%2Fkubectl%2Fpkg%2Fcmd%2Fevents%2Fevent_printer.go,[],0,7,58,16,11,158,0,0,1,1,0,0,0,0,0,0,0,0,246,268,9,2,1,0.3048780487804878
d6c7db2164da,1,vulnerable,kubernetes,kubernetes,kubernetes/kubernetes,90f50488c7b1ab810dd98061d196568e61c47adb,staging/src/k8s.io/kubectl/pkg/cmd/events/event_printer_test.go,https://github.com/kubernetes/kubernetes/raw/dad0e937c0f76344363eb691b2668490ffef8537/staging%2Fsrc%2Fk8s.io%2Fkubectl%2Fpkg%2Fcmd%2Fevents%2Fevent_printer_test.go,"['@@ -208,6 +208,40 @@']",1,7,63,21,12,163,1,0,1,1,0,0,0,0,0,0,0,0,246,268,9,2,1,0.3048780487804878
44c27b6024c8,1,vulnerable,kubernetes,kubernetes,kubernetes/kubernetes,90f50488c7b1ab810dd98061d196568e61c47adb,staging/src/k8s.io/kubectl/pkg/cmd/get/customcolumn.go,https://github.com/kubernetes/kubernetes/raw/dad0e937c0f76344363eb691b2668490ffef8537/staging%2Fsrc%2Fk8s.io%2Fkubectl%2Fpkg%2Fcmd%2Fget%2Fcustomcolumn.go,[],0,7,54,15,10,154,0,0,1,1,0,0,0,0,0,0,0,0,246,268,9,2,1,0.3048780487804878
2c1ee10346ea,1,vulnerable,kubernetes,kubernetes,kubernetes/kubernetes,90f50488c7b1ab810dd98061d196568e61c47adb,staging/src/k8s.io/kubectl/pkg/cmd/get/customcolumn_test.go,https://github.com/kubernetes/kubernetes/raw/dad0e937c0f76344363eb691b2668490ffef8537/staging%2Fsrc%2Fk8s.io%2Fkubectl%2Fpkg%2Fcmd%2Fget%2Fcustomcolumn_test.go,"['@@ -311,6 +311,22 @@']",1,7,59,20,11,159,1,0,1,1,0,0,0,0,0,0,0,0,246,268,9,2,1,0.3048780487804878
