loc,func_cnt,ccn,avg_ccn,max_ccn,token_count,avg_params,file_commits,unique_authors,file_age_days,security_touch_ratio,is_vuln
115,7,12,1.714,3,704,1.0,13,6,835,0.0,0
127,1,3,3.0,3,1835,0.0,119,35,5129,0.0252,1
2220,161,179,1.112,3,12485,1.068,104,44,1422,0.0096,0
50,8,19,2.375,7,435,2.0,24,11,3355,0.0417,0
1472,111,415,3.739,32,8743,2.991,390,115,3681,0.0462,1
53,0,0,0.0,0,430,0.0,5,4,371,0.0,0
105,9,9,1.0,1,1022,1.0,3,3,234,0.0,0
75,10,10,1.0,1,444,1.3,23,14,2096,0.1739,0
3,0,0,0.0,0,18,0.0,1,1,707,0.0,0
133,0,0,0.0,0,317,0.0,74,35,7109,0.0,0
216,10,74,7.4,18,1744,1.5,161,43,3989,0.0,0
810,66,320,4.848,29,5741,3.303,180,34,1955,0.0,0
44,9,14,1.556,3,349,3.111,0,0,0,0.0,0
89,14,18,1.286,2,561,1.0,9,8,2305,0.0,0
152,28,44,1.571,7,773,1.786,68,25,4083,0.0,0
131,7,7,1.0,1,630,1.0,6,5,463,0.0,0
565,74,80,1.081,3,3358,0.986,36,22,957,0.1111,0
61,10,10,1.0,1,225,1.2,0,0,0,0.0,0
169,7,59,8.429,24,1255,2.143,30,4,296,0.0,0
722,123,307,2.496,29,4253,2.854,34,3,199,0.0,0
211,15,21,1.4,3,1359,1.0,38,18,2301,0.0263,1
7,0,0,0.0,0,26,0.0,1,1,130,0.0,0
764,29,271,9.345,40,5163,2.345,29,12,884,0.0,0
20,0,0,0.0,0,156,0.0,12,7,3667,0.0,0
180,6,60,10.0,29,1013,2.667,40,18,2515,0.0,0
24,6,8,1.333,2,137,1.667,0,0,0,0.0,0
596,64,95,1.484,4,3658,1.203,36,23,624,0.0,0
187,13,15,1.154,3,614,1.0,23,12,3359,0.0,0
1,0,0,0.0,0,8,0.0,0,0,0,0.0,0
113,8,12,1.5,5,826,1.0,4,4,192,0.0,0
413,31,45,1.452,4,2172,1.161,23,17,645,0.0,0
374,40,131,3.275,17,2056,1.95,80,10,2353,0.0,0
143,13,37,2.846,8,878,2.0,48,4,500,0.0,0
207,35,73,2.086,7,1133,1.4,62,11,2349,0.0161,0
697,62,266,4.29,20,4781,3.048,116,16,1464,0.0,0
38,1,9,9.0,9,203,3.0,5,3,123,0.0,0
159,22,48,2.182,5,880,3.5,22,17,2539,0.0,0
228,24,68,2.833,8,1023,2.125,73,19,1885,0.0,0
170,18,27,1.5,3,837,1.111,20,6,1256,0.2,1
1336,52,410,7.885,96,8629,1.385,168,4,662,0.0,0
134,7,10,1.429,2,360,1.0,84,35,3114,0.0119,0
281,12,110,9.167,24,1859,3.583,66,26,4276,0.0152,0
2816,255,288,1.129,10,18698,1.059,196,30,1676,0.051,1
20,2,2,1.0,1,176,1.0,2,2,153,0.0,0
618,25,57,2.28,6,1465,1.08,3,3,171,0.0,0
257,24,56,2.333,5,1308,2.625,104,35,3202,0.0865,0
398,37,94,2.541,10,2482,3.919,114,24,2675,0.0877,0
155,30,63,2.1,12,1051,1.667,15,7,1944,0.0,0
550,101,207,2.05,12,3290,2.644,1,1,62,0.0,0
72,6,32,5.333,17,787,2.5,0,0,0,0.0,0
4315,387,433,1.119,10,28084,1.075,198,92,1126,0.0606,0
407,46,120,2.609,10,2421,2.391,53,7,1525,0.1321,0
267,50,53,1.06,2,1557,1.0,1,1,0,0.0,0
330,17,91,5.353,22,1564,1.588,130,39,4170,0.0154,0
13,2,2,1.0,1,99,2.0,9,4,2874,0.0,0
4505,369,409,1.108,10,29878,1.068,141,65,737,0.0496,0
351,20,57,2.85,12,1611,1.75,135,37,6084,0.0,0
1652,177,210,1.186,6,9359,1.158,120,49,1296,0.025,0
528,59,71,1.203,6,3925,1.0,38,18,540,0.0526,1
17,3,4,1.333,2,62,2.333,9,3,800,0.0,0
29,0,0,0.0,0,115,0.0,0,0,0,0.0,0
85,14,14,1.0,1,457,1.071,10,4,969,0.1,1
